x,y,z,xt,yt,zt
0.571886, 0.119641, -0.501598, , , 
0.863835, -0.361883, -0.324796, , , 
0.380422, 0.122247, -0.558584, , , 
0.918966, -0.265225, -0.304457, , , 
0.312306, 0.003573, -0.584345, , , 
0.461912, 0.103289, -0.562173, , , 
0.826102, -0.199398, -0.500593, , , 
0.588663, 0.063345, -0.460643, , , 
0.398107, -0.184137, -0.915641, , , 
1.059786, -0.250833, -0.703493, , , 
0.586736, 0.022593, -0.266015, , , 
1.424944, -0.329771, -0.744679, , , 
1.135458, -0.106124, -0.592588, , , 
0.741915, -0.371713, -0.263969, , , 
0.936922, -0.118074, -0.887605, , , 
1.281049, -0.355417, -0.823327, , , 
0.528340, 0.057512, -0.567557, , , 
0.533265, 0.015121, -0.574906, , , 
0.307089, 0.108790, -0.545856, , , 
0.462310, 0.103578, -0.562070, , , 
0.465760, 0.122959, -0.538202, , , 
0.592441, 0.058140, -0.422320, , , 
0.373846, 0.119399, -0.554639, , , 
0.417365, 0.032463, -0.612489, , , 
0.725492, -0.399637, -0.426010, , , 
0.743079, -0.362271, -0.248968, , , 
0.457727, 0.029991, -0.579370, , , 
0.392090, 0.045562, -0.576954, , , 
1.209998, -0.075008, -0.540220, , , 
0.411635, 0.131631, -0.559390, , , 
1.014499, -0.336968, -0.804946, , , 
1.386121, -0.862844, -0.869958, , , 
0.401941, 0.116441, -0.555433, , , 
1.562742, -0.882458, -1.101935, , , 
0.544867, -0.127656, -0.520966, , , 
0.915607, -0.315670, -0.224195, , , 
0.548593, 0.049673, -0.477881, , , 
1.440851, -0.555944, -0.900674, , , 
0.584876, 0.066516, -0.350004, , , 
1.029577, -0.141375, -0.957921, , , 
0.468054, 0.027141, -0.573050, , , 
0.594620, -0.115583, -0.307975, , , 
0.546533, -0.000087, -0.582238, , , 
0.451135, 0.073520, -0.564703, , , 
0.480161, 0.126305, -0.550148, , , 
0.509441, 0.018432, -0.590832, , , 
0.932758, -0.206453, -0.183684, , , 
1.287034, -0.637359, -1.107082, , , 
0.728690, -0.366136, -0.215094, , , 
0.581797, 0.052607, -0.410377, , , 
1.428853, -0.644126, -0.808996, , , 
0.753569, -0.368375, -0.201951, , , 
0.527860, 0.040384, -0.574269, , , 
0.581720, 0.062111, -0.269058, , , 
0.569664, 0.032282, -0.554202, , , 
0.787058, -0.404092, -0.246985, , , 
0.586680, 0.052896, -0.222014, , , 
0.682985, -0.364327, -0.890248, , , 
0.610101, -0.167194, -0.774854, , , 
0.916736, -0.274069, -0.145051, , , 
1.098262, -0.190757, -0.177859, , , 
1.074040, -0.152043, -0.220607, , , 
1.021660, -0.222243, -0.502861, , , 
1.019777, -0.176078, -0.500581, , , 
1.142168, -0.882972, -0.866128, , , 
0.837471, -0.091755, -0.685007, , , 
0.608062, 0.032562, -0.160571, , , 
0.462405, 0.072491, -0.573364, , , 
0.496995, 0.101478, -0.553395, , , 
0.582335, 0.092092, -0.389191, , , 
2.123189, -1.462151, -1.099775, , , 
0.320766, 0.008056, -0.577593, , , 
1.175284, -0.092308, -0.570144, , , 
0.976682, -0.199617, -0.346061, , , 
1.412448, -0.970770, -0.843392, , , 
0.375524, 0.112009, -0.562532, , , 
1.392778, -0.916899, -0.829457, , , 
0.721490, -0.340544, -0.211320, , , 
0.468125, 0.073395, -0.581290, , , 
0.528606, 0.021731, -0.540694, , , 
0.915919, -0.444066, -0.538980, , , 
0.608579, 0.055513, -0.409186, , , 
0.514698, -0.018867, -0.185009, , , 
0.711000, -0.344289, -0.266997, , , 
0.426153, 0.032422, -0.582959, , , 
0.447030, 0.024804, -0.556516, , , 
0.324846, 0.013320, -0.572497, , , 
0.582786, 0.036466, -0.480210, , , 
0.719943, -0.391627, -0.422066, , , 
0.647701, -0.185724, -0.812638, , , 
0.395997, 0.046496, -0.580706, , , 
0.641755, 0.038232, -0.222498, , , 
1.008011, -0.163636, -0.213486, , , 
0.850535, -0.360735, -0.799955, , , 
0.499882, 0.044104, -0.587774, , , 
0.588817, 0.018301, -0.297619, , , 
0.252086, 0.091254, -0.362155, , , 
0.409932, 0.026582, -0.575488, , , 
0.283103, 0.093114, -0.410886, , , 
0.910146, -0.186833, -0.430706, , , 
1.595586, -0.580421, -1.022104, , , 
0.971825, -0.123934, -0.647511, , , 
0.988479, -0.137553, -0.603370, , , 
0.599625, 0.011918, -0.303128, , , 
0.588226, 0.032126, -0.328222, , , 
1.273417, -0.442329, -1.005620, , , 
0.950209, -0.262379, -0.397501, , , 
0.919259, -0.321473, -0.365281, , , 
0.658835, -0.386754, -0.376373, , , 
0.790140, -0.154740, -0.162846, , , 
1.111248, -0.173011, -0.614356, , , 
0.414475, 0.024831, -0.578347, , , 
0.868795, -0.304328, -0.149345, , , 
0.588656, -0.025517, -0.203670, , , 
0.591533, 0.012098, -0.303007, , , 
0.938960, -0.297938, -0.361953, , , 
0.658805, -0.193517, -0.460517, , , 
0.589898, -0.009388, -0.295373, , , 
0.619999, -0.249378, -0.707937, , , 
0.574115, 0.043444, -0.360119, , , 
0.886153, -0.538139, -0.275792, , , 
0.884062, -0.183929, -0.122618, , , 
1.381069, -0.485047, -0.924448, , , 
0.598691, -0.032245, -0.228504, , , 
0.440936, 0.047630, -0.580048, , , 
0.576391, 0.104713, -0.515555, , , 
0.395851, 0.002769, -0.595697, , , 
0.598445, -0.005057, -0.179569, , , 
0.594104, 0.052562, -0.220378, , , 
0.856213, -0.300041, -0.155305, , , 
0.718592, -0.355373, -0.212139, , , 
0.532082, 0.110348, -0.537317, , , 
0.591263, -0.225918, -0.680848, , , 
0.562845, 0.035176, -0.173768, , , 
0.331055, 0.060557, -0.564662, , , 
0.590269, 0.065569, -0.460777, , , 
0.591581, 0.062935, -0.310855, , , 
0.490993, 0.059704, -0.544269, , , 
0.655466, -0.192535, -0.824477, , , 
0.352857, 0.093733, -0.366786, , , 
0.955706, -0.191221, -0.344134, , , 
0.764765, -0.296929, -0.186761, , , 
0.822184, -0.371595, -0.505719, , , 
0.601631, 0.033795, -0.162256, , , 
0.986972, -0.180039, -0.224716, , , 
0.598382, -0.020566, -0.168650, , , 
1.198738, -0.757372, -0.890276, , , 
1.223432, -0.230273, -0.558075, , , 
0.574421, 0.060741, -0.263308, , , 
0.898348, -0.258144, -0.407141, , , 
1.191265, -0.414146, -0.931227, , , 
0.582814, 0.103588, -0.433367, , , 
0.802788, -0.361323, -0.332276, , , 
0.871525, -0.215552, -0.436167, , , 
1.413088, -0.969961, -0.845668, , , 
0.862718, -0.177799, -0.129821, , , 
1.052171, -0.048307, -0.520533, , , 
0.900985, -0.242048, -0.396445, , , 
0.514935, 0.042324, -0.565123, , , 
0.814459, -0.370778, -0.332523, , , 
1.302856, -0.534567, 0.108727, , , 
0.814075, -0.370327, -0.332472, , , 
0.863938, -0.165137, -0.470352, , , 
0.588630, 0.103790, -0.468057, , , 
0.594668, 0.086998, -0.472877, , , 
0.579643, 0.073548, -0.477733, , , 
0.937520, -0.184590, -0.343197, , , 
1.260890, -0.266176, -0.687958, , , 
1.408745, -0.500188, 0.088783, , , 
1.235496, -0.586602, -0.729721, , , 
0.772331, -0.146823, -0.168447, , , 
1.262612, -0.319126, -0.650060, , , 
0.872603, -0.169350, -0.435261, , , 
0.759167, -0.057528, -0.360355, , , 
0.611412, 0.073837, -0.452609, , , 
0.589639, 0.020836, -0.097788, , , 
1.079377, -0.184725, -0.181214, , , 
0.591888, 0.001145, -0.213482, , , 
1.181229, -0.590318, -0.717943, , , 
0.580597, 0.055587, -0.342192, , , 
0.602699, 0.069044, -0.442192, , , 
0.595242, 0.028968, -0.569588, , , 
0.938241, -0.172197, -0.521905, , , 
0.592644, -0.029850, -0.066993, , , 
0.589885, 0.033535, -0.339180, , , 
